epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,581.646,1.16804,0.56039,1.18061,0.97123,1,0.995,0.59534,1.59478,0.56645,1.39841,0.00119315,0.00119315,0.00119315
165,585.165,1.07705,0.50038,1.13041,0.97587,1,0.995,0.56151,1.68209,0.55649,1.45393,0.0011882,0.0011882,0.0011882
166,588.909,1.08285,0.50579,1.11726,0.98305,1,0.995,0.54507,1.75582,0.52639,1.49024,0.00118325,0.00118325,0.00118325
167,592.411,1.07691,0.48852,1.12019,0.99127,1,0.995,0.53502,1.72193,0.51433,1.454,0.0011783,0.0011783,0.0011783
168,595.921,1.07426,0.4979,1.1142,0.99388,1,0.995,0.54233,1.71317,0.56786,1.43084,0.00117335,0.00117335,0.00117335
169,599.425,1.12037,0.51215,1.13483,0.99467,1,0.995,0.5084,1.7559,0.62945,1.46354,0.0011684,0.0011684,0.0011684
170,602.953,1.13124,0.51519,1.14228,0.99432,1,0.995,0.52672,1.75888,0.60347,1.54544,0.00116345,0.00116345,0.00116345
171,606.448,1.0702,0.5271,1.14898,0.99422,1,0.995,0.55627,1.72143,0.54233,1.54808,0.0011585,0.0011585,0.0011585
172,610.226,1.11874,0.53006,1.15422,0.9941,1,0.995,0.55479,1.63349,0.53933,1.48057,0.00115355,0.00115355,0.00115355
173,613.729,1.04069,0.50163,1.07959,0.99409,1,0.995,0.57992,1.67143,0.56367,1.48662,0.0011486,0.0011486,0.0011486
174,617.218,1.16934,0.5064,1.17609,0.99418,1,0.995,0.5665,1.6939,0.53307,1.50323,0.00114365,0.00114365,0.00114365
175,620.736,1.0838,0.54096,1.11883,0.9943,1,0.995,0.60283,1.69701,0.50978,1.49105,0.0011387,0.0011387,0.0011387
176,624.24,1.11817,0.50634,1.1395,0.95843,1,0.995,0.58803,1.67135,0.57842,1.47968,0.00113375,0.00113375,0.00113375
177,627.746,1.11731,0.50311,1.12967,0.99367,1,0.995,0.56781,1.70473,0.55074,1.4541,0.0011288,0.0011288,0.0011288
178,631.253,1.11258,0.52775,1.13994,0.99339,1,0.995,0.5766,1.65408,0.55599,1.41915,0.00112385,0.00112385,0.00112385
179,634.756,1.10458,0.5479,1.15218,1,0.99325,0.995,0.57699,1.66521,0.62674,1.40015,0.0011189,0.0011189,0.0011189
180,638.585,1.10224,0.50195,1.13753,0.99326,1,0.995,0.5662,1.68594,0.56277,1.43968,0.00111395,0.00111395,0.00111395
181,642.126,1.07484,0.50727,1.11325,0.99354,1,0.995,0.55607,1.69722,0.56045,1.46357,0.001109,0.001109,0.001109
182,645.727,1.12967,0.49932,1.14431,0.99544,1,0.995,0.54391,1.67094,0.54265,1.49807,0.00110405,0.00110405,0.00110405
183,649.319,1.10407,0.52553,1.11942,0.99439,1,0.995,0.51744,1.6436,0.59677,1.4243,0.0010991,0.0010991,0.0010991
184,652.826,1.05209,0.48173,1.10911,0.99241,1,0.995,0.56345,1.62654,0.54906,1.42078,0.00109415,0.00109415,0.00109415
185,656.332,1.10622,0.47848,1.13364,0.99365,1,0.995,0.55389,1.67786,0.55737,1.42127,0.0010892,0.0010892,0.0010892
186,660.062,1.15213,0.51388,1.17812,0.99038,1,0.995,0.5776,1.67918,0.56251,1.44671,0.00108425,0.00108425,0.00108425
187,663.544,1.11365,0.51483,1.13646,0.99413,1,0.995,0.57566,1.75616,0.59492,1.52418,0.0010793,0.0010793,0.0010793
188,667.032,1.05767,0.50707,1.10537,0.9944,1,0.995,0.56367,1.68677,0.55995,1.49174,0.00107435,0.00107435,0.00107435
189,670.533,0.99928,0.48407,1.09459,0.99453,1,0.995,0.55422,1.5932,0.52291,1.45487,0.0010694,0.0010694,0.0010694
190,674.008,0.96759,0.47086,1.07389,1,1,0.995,0.59086,1.62788,0.54301,1.46009,0.00106445,0.00106445,0.00106445
191,677.481,1.02583,0.50445,1.08083,1,1,0.995,0.58753,1.62834,0.50947,1.44043,0.0010595,0.0010595,0.0010595
