obs_index	inference_time_sec	image_proc_time_sec
739	1.006974	0.032895
740	0.571628	0.045577
741	1.009014	0.034618
742	1.064591	0.034551
743	0.794256	0.049442
744	0.963708	0.038986
745	0.567108	0.022077
746	1.090174	0.022296
747	1.142865	0.033237
748	1.265354	0.015576
749	1.168564	0.051106
750	0.937493	0.032959
751	0.611994	0.014404
752	1.288508	0.056377
753	1.060173	0.0341
754	1.270865	0.025612
755	0.669373	0.017231
756	0.496591	0.012233
757	0.573101	0.028202
758	1.004201	0.017616
759	0.9666	0.01329
760	0.822664	0.028528
761	0.822154	0.025653
762	0.558742	0.019228
763	0.714161	0.03644
764	0.86091	0.014118
765	0.916982	0.024435
766	0.987141	0.035114
767	1.10052	0.034584
768	0.684121	0.025236
769	1.10211	0.044584
770	1.4059	0.03502
771	1.133625	0.025408
772	0.770016	0.019993
773	0.592917	0.019896
774	0.646098	0.022144
775	1.020992	0.038742
776	0.944118	0.03526
777	0.714227	0.022667
778	1.400901	0.042701
779	1.588664	0.055393
780	0.879938	0.023974
781	1.042183	0.02906
782	1.218614	0.037867
783	0.508312	0.015906
784	0.46263	0.013183
785	1.557742	0.02779
786	1.402447	0.036798
787	0.959146	0.031981
788	1.127751	0.026315
789	1.432652	0.026043
790	0.702436	0.032447
791	0.947622	0.026544
792	1.358613	0.023593
793	1.020174	0.030859
794	1.049979	0.023718
795	1.431293	0.032193
796	1.09924	0.018976
797	0.882178	0.037113
798	1.141622	0.045603
799	0.938336	0.020346
800	1.052499	0.027371

